category_name,category_link
Laptops,https://www.mega.pk/laptop-price-pakistan/
Mobiles,https://www.mega.pk/mobiles/
Tablets,https://www.mega.pk/multimediatablets/
Camera DSLR,https://www.mega.pk/DSLRcameras/
iPad,https://www.mega.pk/multimediatablets-apple/
Airpods,https://www.mega.pk/bluetoothhandfree-apple/
Smart Watches,https://www.mega.pk/watches/
LED Tv,https://www.mega.pk/ledtv/
Drones,https://www.mega.pk/drone/
Projectors,https://www.mega.pk/projector/
Printer,https://www.mega.pk/printer/
iMac,https://www.mega.pk/desktopcomputers-apple/
Monitors,https://www.mega.pk/lcdledmonitor/
Air Conditioners,https://www.mega.pk/airconditioners/
Fridge,https://www.mega.pk/fridge/
Washing Machine,https://www.mega.pk/washingmachine/
Refrigerators,https://www.mega.pk/freezer/
Microwaves,https://www.mega.pk/microwaveovens/
Food Processors,https://www.mega.pk/foodprocessors/
Coffee Maker,https://www.mega.pk/coffeemaker/
Deep Fryers,https://www.mega.pk/deepfryer/
Blenders,https://www.mega.pk/blendersgrinders/
Sandwich Makers,https://www.mega.pk/sandwichmakers/
Kettels,https://www.mega.pk/kettles/
Juicers,https://www.mega.pk/juicers/
Water Dispenser,https://www.mega.pk/waterdispenser/
External Drives,https://www.mega.pk/externalhards/
Headphones,https://www.mega.pk/headphones/
Laptop Chargers,https://www.mega.pk/laptopcharger/
Keyboards,https://www.mega.pk/laptopkeyboard/
Webcams,https://www.mega.pk/webcameras/
Mouse,https://www.mega.pk/mouse/
Laptop Bags,https://www.mega.pk/laptopbag/
Laptop Battries,https://www.mega.pk/laptopbattries/
